Razão Social (Registro ANS);Cobertura;Porte;Classificação no Mês;Classificação no Mês Anterior;jan/18;dez/17;nov/17;out/17;set/17;ago/17;jul/17;jun/17;mai/17;abr/17;mar/17;fev/17;Competência;Data de atualização
CAIXA DE ASSISTÊNCIA À SAÚDE DOS EMPREGADOS DA CELG (361461);Médico Hospitalar;Pequeno;189;194;0;0;0,6;1,2;1,79;1,79;1,19;0,59;0;0;0;0;201801;26/02/2018 11:03
CAIXA DE ASSISTÊNCIA À SAUDE DOS EMPREGADOS DA CODEVASF - CASEC (412295);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;2,09;2,09;2,09;0;201801;26/02/2018 11:03
CAIXA DE ASSISTENCIA A SAUDE DOS ESTIVADORES DE PARANAGUÁ-SINDESTIVASAUDE (419273);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
CAIXA DE ASSISTÊNCIA À SAÚDE DOS TRABALHADORES NAS INDÚSTRIAS METALÚRGICAS, MECÂNICAS E DO MATERIAL ELÉTRICO DE BRUSQUE (419851);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;1,24;1,24;201801;26/02/2018 11:03
CAIXA DE ASSISTÊNCIA AOS MEMBROS DA DEFENSORIA PÚBLICA DO ESTADO DO RIO DE JANEIRO (418820);Médico Hospitalar;Pequeno;189;194;0;0;0;0;4,47;4,44;4,41;0;0;0;0;0;201801;26/02/2018 11:03
CAIXA DE ASSISTÊNCIA DO SETOR ELÉTRICO - E-VIDA (418374);Médico Hospitalar;Pequeno;81;86;3,39;3,39;1,69;2,26;2,83;3,97;3,41;1,7;1,14;1,14;1,14;1,71;201801;26/02/2018 11:03
CAIXA DE ASSISTÊNCIA DO SINDFISCO - CASSIND (413518);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DA SANEAGO (363855);Médico Hospitalar;Pequeno;189;194;0;0;0;0,65;0,65;0,65;0;0;0;0;0;0,66;201801;26/02/2018 11:03
CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO BANCO DO ESTADO DO RIO GRANDE DO SUL (307319);Médico Hospitalar;Médio;137;145;0,98;0,97;1,21;0,48;0,73;0,97;1,69;1,2;1,2;0,48;0,96;0,72;201801;26/02/2018 11:03
CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO BANEB (315583);Médico Hospitalar;Pequeno;189;194;0;0;0;2,16;4,31;6,45;4,28;2,13;0;0;0;0;201801;26/02/2018 11:03
CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO BANESE (335789);Médico Hospitalar;Pequeno;131;135;1,31;1,31;1,31;1,32;1,32;1,32;0;0;0;0;0;0;201801;26/02/2018 11:03
CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO SETOR PÚBLICO DO ESTADO DE GOIÁS - CAEME (344184);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO SISTEMA FINANCEIRO BANESTES (343331);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0,99;0,99;0,99;0;0;0;0;0,99;201801;26/02/2018 11:03
CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DOS SISTEMAS BESC E CODESC, DO BADESC E DA FUSESC (356476);Médico Hospitalar;Médio;198;159;0,38;0,75;0,75;1,12;0,74;0,74;0,37;0,37;0,73;0,36;0,73;0,36;201801;26/02/2018 11:03
CAIXA DE ASSISTÊNCIA DOS FUNCIONÁRIOS DA  ENERGISA SERGIPE (370321);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
CAIXA DE ASSISTÊNCIA DOS FUNCIONÁRIOS DO BANCO DA AMAZÔNIA - CASF (358754);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0,81;0,81;1,61;0,8;1,6;0,8;201801;26/02/2018 11:03
CAIXA DE ASSISTÊNCIA DOS FUNCIONÁRIOS DO BANCO DO BRASIL (346659);Médico Hospitalar;Grande;6;6;6;6,55;7,18;7,04;7,12;7,59;7,5;6,96;6,66;6,14;6,73;6,49;201801;26/02/2018 11:03
CAIXA DE ASSISTÊNCIA DOS FUNCIONÁRIOS DO BANCO DO NORDESTE DO BRASIL (385697);Médico Hospitalar;Médio;101;102;1,57;1,57;1,57;1,83;1,56;2,08;2,34;2,34;2,08;2,08;2,33;2,85;201801;26/02/2018 11:03
CAIXA DE ASSISTÊNCIA DOS MAGISTRADOS DE PERNAMBUCO (302627);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;4,91;4,92;4,93;0;0;0;201801;26/02/2018 11:03
CAIXA DE ASSISTÊNCIA DOS SERVIDORES DA CEDAE - CAC (321869);Médico Hospitalar;Médio;15;23;6,48;5,78;7,12;4,74;3,03;1,01;1,34;1,98;3,26;3,22;3,53;3,2;201801;26/02/2018 11:03
CAIXA DE ASSISTENCIA DOS SERVIDORES DO ESTADO DE MATO GROSSO DO SUL (413534);Médico Hospitalar;Grande;72;75;0,56;0,46;0,37;0,11;0,11;0,23;0,38;0,39;0,19;0,16;0,16;0,2;201801;26/02/2018 11:03
CAIXA DE ASSISTÊNCIA DOS SERVIDORES FAZENDÁRIOS ESTADUAIS (359122);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;1,16;2,31;2,3;1,15;0;0;0;201801;26/02/2018 11:03
CAIXA DE ASSISTENCIA MEDICA DOS EX-EMPREGADOS DO BEMAT (331856);Médico Hospitalar;Pequeno;189;194;0;0;0;26,48;26,27;26,06;0;0;0;0;24,49;24,31;201801;26/02/2018 11:03
CAIXA DE ASSISTÊNCIA OSWALDO CRUZ (417548);Médico Hospitalar;Pequeno;82;53;3,27;6,53;5,23;5,88;4,57;6,55;5,25;4,59;1,96;2,61;1,96;3,26;201801;26/02/2018 11:03
CAIXA DE ASSISTÊNCIA SISTEMA SAÚDE INTEGRAL-SSI SAUDE (320820);Médico Hospitalar;Pequeno;140;185;1,14;0,57;1,72;1,15;1,16;0;0;0;0;0;0;0;201801;26/02/2018 11:03
CAIXA DE PREVIDÊNCIA E ASSISTÊNCIA DOS SERVIDORES DA FUNDAÇÃO NACIONAL DE SAÚDE - CAPESESP (324477);Médico Hospitalar;Médio;14;8;7,01;8,83;9,59;11,05;11,75;13,03;14,35;12,72;11,4;8,98;11,38;13,53;201801;26/02/2018 11:03
CAIXA ECONÔMICA FEDERAL (312924);Médico Hospitalar;Grande;1;2;8,96;10,2;9,3;6,43;3,48;2,34;2,37;2,17;2,3;2,26;2,87;3,21;201801;26/02/2018 11:03
CAIXA SEGURADORA ESPECIALIZADA EM SAÚDE S/A (418072);Médico Hospitalar;Médio;12;9;7,19;8,53;9,93;9,87;8,93;8,89;10,84;12,78;16,09;14,42;13,26;9,36;201801;26/02/2018 11:03
CAMBORIÚ SAÚDE LTDA. (360147);Médico Hospitalar;Pequeno;153;194;0,91;0;0,9;2,68;2,63;2,57;0,84;2,46;1,52;1,42;0;0,66;201801;26/02/2018 11:03
CAMIM-CLINICA MÉDICA LTDA (319872);Médico Hospitalar;Médio;208;201;0,3;0,29;0,29;0;0,28;0,28;0,56;0,28;0,83;0,82;0,82;0,27;201801;26/02/2018 11:03
CARE PLUS MEDICINA ASSISTENCIAL LTDA. (379956);Médico Hospitalar;Médio;134;61;0,99;1,2;1,32;1,66;2,19;2,45;2,36;2,3;2,34;1,81;1,26;1,15;201801;26/02/2018 11:03
CASA DE SAÚDE NOSSA SENHORA DE FÁTIMA  LTDA. (327328);Médico Hospitalar;Pequeno;13;13;39,47;38,76;0;0;0;0;44,12;45,39;46,22;0;0;0;201801;26/02/2018 11:03
CASA DE SAÚDE SÃO BERNARDO S/A (363766);Médico Hospitalar;Médio;113;113;1,33;1,44;1,68;1,68;1,8;1,44;0,96;0,96;0,84;0,71;1,05;1,52;201801;26/02/2018 11:03
CB SAÚDE ADMINISTRAÇÃO EM SAUDE SUPLEMENTAR LTDA (418676);Médico Hospitalar;Pequeno;5;8;96,75;63,48;48,2;32,36;18,9;14,43;9,93;15,19;14,84;11,9;8,41;5,97;201801;26/02/2018 11:03
CEAM BRASIL - PLANOS DE SAÚDE S/A (311472);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
CEDPLAN SAÚDE LTDA ME (418749);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
CELULOSE NIPO-BRASILEIRA S/A - CENIBRA (339270);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
CEMIG SAÚDE (417505);Médico Hospitalar;Médio;127;122;1,19;1,36;2,03;1,69;1,52;0,67;1,01;0,84;1,67;1,67;2;1,66;201801;26/02/2018 11:03
CEMIL CENTRO MEDICO DE ITU LTDA. (300012);Médico Hospitalar;Pequeno;147;157;1,07;1,07;1,07;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
CENTRAIS ELÉTRICAS DE RONDÔNIA S/A - CERON (304697);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
CENTRAL NACIONAL UNIMED - COOPERATIVA CENTRAL (339679);Médico Hospitalar;Grande;32;34;2,86;3,04;3,11;3,34;3,28;3,5;3,68;3,87;3,86;3,33;3,23;2,85;201801;26/02/2018 11:03
CENTRAL OPERADORA DE PLANOS DE SAÚDE NORTE-NORDESTE SOCIEDADE COOPERATIVA (417092);Médico Hospitalar;Pequeno;30;17;14,02;27,87;27,71;13,81;0;6,85;6,81;20,28;20,16;19,97;13,19;13,03;201801;26/02/2018 11:03
CENTRO BARBACENENSE DE ASSISTÊNCIA MEDICA E SOCIAL (310361);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
CENTRO CLÍNICO GAÚCHO LTDA (392804);Médico Hospitalar;Grande;54;71;1,4;0,73;0,73;0,79;0,85;0,97;1,03;1,27;1,33;1,33;1,21;1,15;201801;26/02/2018 11:03
CENTRO CLINICO NH LTDA. (304212);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
CENTRO DE ENDOCRINOLOGIA DE JUNDIAÍ S/S LTDA (415910);Médico Hospitalar;Pequeno;189;194;0;0;12,96;12,98;13,03;0;13,17;13,27;13,43;0;0;0;201801;26/02/2018 11:03
CENTRO HOSPITALAR ATIBAIA LTDA. (350699);Médico Hospitalar;Médio;219;218;0;0;0,45;0,9;0,9;0,45;0;0,91;0,91;0,91;0;0;201801;26/02/2018 11:03
CENTRO MÉDICO ESTÂNCIA VELHA LTDA (403130);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
CENTRO MÉDICO FÁTIMA LTDA (408883);Médico Hospitalar;Pequeno;107;82;1,84;3,64;3,66;5,57;1,9;1,94;0;0;3,96;3,98;6;2,02;201801;26/02/2018 11:03
CENTRO TRASMONTANO DE SAO PAULO (303623);Médico Hospitalar;Médio;25;29;4,89;5,2;4,75;4,83;5,02;5,45;6,19;6,92;5,81;4,61;3,75;4,15;201801;26/02/2018 11:03
CETESB - COMPANHIA AMBIENTAL DO ESTADO DE SÃO PAULO (324892);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
CGO SAÚDE - OPERADORA DE PLANOS DE SAÚDE LTDA  (413291);Médico Hospitalar;Pequeno;171;132;0,7;1,41;1,44;1,47;0,75;0,76;0,77;0,78;0,79;1,58;1,59;1,59;201801;26/02/2018 11:03
CIMMAL OPERADORA DE PLANOS DE SAÚDE LTDA. (405051);Médico Hospitalar;Pequeno;39;23;9,48;18,96;18,96;18,91;9,42;0;0;0;0;0;0;0;201801;26/02/2018 11:03
CIRCULO OPERARIO CAXIENSE (310247);Médico Hospitalar;Médio;185;181;0,46;0,46;1,27;1,04;0,93;0,35;0,35;0,47;0,23;0,35;0,12;0,12;201801;26/02/2018 11:03
CLIMEPE TOTAL LTDA (343013);Médico Hospitalar;Médio;177;177;0,51;0,51;0,26;0,26;0,78;1,04;0,78;0,26;0;0,52;1,04;1,04;201801;26/02/2018 11:03
CLIMESA CLÍNICA MÉDICA SANTANA LTDA (342955);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;2,12;4,2;4,26;2,19;0;4,51;4,59;201801;26/02/2018 11:03
CLIMOL CLINICA MÉDICA E ODONTOLÓGICA SÃO FRANCISCO DE ASSIS LTDA. (402770);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
CLÍNICA SÃO GABRIEL S/S LTDA (415944);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
CLINICA SÃO JOSÉ SAUDE LTDA. (413275);Médico Hospitalar;Médio;60;57;2,73;3,18;4,07;2,72;2,96;1,6;1,14;0,91;1,61;2,32;1,64;1,17;201801;26/02/2018 11:03
CLINIPAM CLINICA PARANAENSE DE ASSISTENCIA MEDICA LTDA (340782);Médico Hospitalar;Grande;49;48;1,76;1,94;1,8;2,44;2,47;2,48;2,01;1,93;2,72;2,6;2,9;2,04;201801;26/02/2018 11:03
CLINIPREV SAUDE LTDA (415413);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
CMI - CLINICA DE MEDICINA INTEGRADA LTDA. (310239);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
COMPANHIA DAS DOCAS DO ESTADO DA BAHIA - CODEBA (419796);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
COMPANHIA DE ENGENHARIA DE TRAFEGO - CET (330051);Médico Hospitalar;Pequeno;154;166;0,9;0,9;2,71;6,31;6,28;6,25;3,56;4,45;3,56;2,67;2,67;3,55;201801;26/02/2018 11:03
COMPANHIA DOCAS DO ESPIRITO SANTO - CODESA (416509);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
COMPANHIA ESPIRITO SANTENSE DE SANEAMENTO (392405);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
COMPANHIA NACIONAL DE ABASTECIMENTO - CONAB (334189);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
COMSEDER - COOPERATIVA DE ASSISTÊNCIA MÉDICA DOS SERVIDORES DA SUPLAN E DO DER LTDA (390259);Médico Hospitalar;Pequeno;37;38;10,27;10,24;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
CONFERÊNCIA SÃO JOSÉ DO AVAÍ (321931);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
CONFIANÇA ASSISTÊNCIA MÉDICO HOSPITALAR LTDA (410624);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0,88;0,88;201801;26/02/2018 11:03
"COOPERATIVA DE CONSUMO E BENEFÍCIOS SOCIAIS E ECONÔMICOS ""C.S. ASSISTANCE"" (350362)";Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
COOPERATIVA DE TRABALHO MEDICO DE ARAGUAÍNA - UNIMED ARAGUAÍNA (313084);Médico Hospitalar;Pequeno;117;97;1,62;2,44;1,63;2,45;2,45;1,63;0,82;0,81;3,25;3,23;2,42;1,59;201801;26/02/2018 11:03
COOPERATIVA DE TRABALHO MÉDICO DE POUSO ALEGRE (337188);Médico Hospitalar;Médio;153;157;0,77;0,77;0,93;0,78;1,09;0,63;0,79;0,63;0,79;1,1;0,79;0,79;201801;26/02/2018 11:03
COOPERATIVA DE TRABALHO MÉDICO DE SÃO LUÍS LTDA. - UNIMED DE SÃO LUÍS (338559);Médico Hospitalar;Médio;219;218;0;0;0;0;0;0;0;0,23;0,23;0,23;0;0;201801;26/02/2018 11:03
COOPERATIVA DE TRABALHO MÉDICO DO PLANALTO NORTE DE SANTA CATARINA LTDA (317012);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0,57;1,15;1,15;0,58;0;0;0;201801;26/02/2018 11:03
COOPERATIVA DE TRABALHO MEDICO REGIÃO DO PLANALTO SERRANO (318213);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0,49;0,48;0,48;0;0,47;0,48;0,49;0;201801;26/02/2018 11:03
COOPERATIVA DE USUÁRIOS ASSISTÊNCIA MÉDICO-HOSPITALAR LTDA - VIVAMED SAÚDE (314170);Médico Hospitalar;Pequeno;40;54;9,4;6,5;5,52;5,46;7,17;8,79;7,76;6,78;7,51;9,87;8,97;7,33;201801;26/02/2018 11:03
COOPERATIVA DOS USUÁRIOS DE SERVIÇOS DE SAÚDE DO VALE DO RIO DOS SINOS LTDA (404241);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
COOPERATIVA DOS USUÁRIOS DE SERVIÇOS DE SAÚDE LTDA. (406805);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
COOPUS PLANOS DE SAÚDE LTDA (419168);Médico Hospitalar;Médio;18;20;6,14;6,33;4,36;5,69;5,39;5,8;5,71;6,43;9,6;8,44;6,87;3,05;201801;26/02/2018 11:03
CRUSAM CRUZEIRO DO SUL SERVIÇO DE ASSISTÊNCIA MÉDICA S. A. (324698);Médico Hospitalar;Médio;26;15;4,88;7,21;7,73;7,72;4,66;3,94;3,21;3,74;4,8;4,61;4,26;2,66;201801;26/02/2018 11:03
DANA INDUSTRIAS LTDA. (416118);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
DESBAN - FUNDAÇÃO BDMG DE SEGURIDADE SOCIAL (357669);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
DOCTOR CLIN OPERADORA DE PLANOS DE SAÚDE LTDA. (349682);Médico Hospitalar;Médio;76;73;2,04;2,53;2,54;2,3;1,94;1,7;1,84;1,6;1,48;0,87;0,86;0,98;201801;26/02/2018 11:03
DONA SAÚDE CLINICAS LTDA. ME (365645);Médico Hospitalar;Pequeno;2;4;147,35;131,32;101,06;128,27;126,17;110,34;40,6;39,56;64,27;124,58;120,82;105,1;201801;26/02/2018 11:03
ECOLE SERVIÇOS MÉDICOS LTDA (414298);Médico Hospitalar;Médio;47;46;3,27;3,76;3,35;4,4;3,88;3,15;2,42;2,44;5,19;4,67;4,9;2,71;201801;26/02/2018 11:03
ECONOMUS INSTITUTO DE SEGURIDADE SOCIAL (342611);Médico Hospitalar;Médio;42;53;3,57;3,34;2,89;1,33;1,55;1,77;2,66;2,65;2,43;1,99;1,55;2,44;201801;26/02/2018 11:03
ELETROSUL CENTRAIS ELÉTRICAS S/A (356891);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;2,88;2,88;201801;26/02/2018 11:03
ELOSAÚDE - ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE (417297);Médico Hospitalar;Pequeno;162;172;0,82;0,82;0;0;0,83;0,83;0,83;0;0;0;0,85;1,75;201801;26/02/2018 11:03
EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTUÁRIA (400891);Médico Hospitalar;Médio;138;101;0,96;1,58;2,2;1,88;0,93;0,92;0,91;1,8;1,78;2,08;2,07;1,77;201801;26/02/2018 11:03
EMPRESA BRASILEIRA DE TELECOMUNICAÇÕES S.A (320587);Médico Hospitalar;Médio;183;180;0,46;0,46;0,46;0,46;0,46;0,46;0,46;0;0,45;0,45;0,89;0,44;201801;26/02/2018 11:03
EMPRESA DE TRANSPORTES E TRÂNSITO DE BELO HORIZONTE S.A. - BHTRANS (306525);Médico Hospitalar;Pequeno;189;194;0;0;4,71;4,7;4,69;0;0;0;0;0;0;0;201801;26/02/2018 11:03
EMPRESA GERENCIAL DE PROJETOS NAVAIS (410322);Médico Hospitalar;Pequeno;49;55;6,4;6,36;6,33;0;0;0;0;0;0;0;2,09;4,19;201801;26/02/2018 11:03
ESMALE ASSISTENCIA INTERNACIONAL DE SAUDE LTDA. (395480);Médico Hospitalar;Médio;44;27;3,5;5,25;4,49;5,68;5,89;6,52;5,96;4,79;6;5,61;5,81;5,21;201801;26/02/2018 11:03
ESTALEIRO ATLÂNTICO SUL S/A (420905);Médico Hospitalar;Pequeno;142;194;1,11;0;0;0;0;0;;;;;;;201801;26/02/2018 11:03
EVANGELICO SAUDE LTDA. (401480);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;1,5;1,51;1,53;0;0;0;201801;26/02/2018 11:03
EVERCROSS PLANEJAMENTO DE ASSISTÊNCIA MÉDICA LTDA. (410179);Médico Hospitalar;Pequeno;35;25;11,63;17,51;17,57;11,72;5,86;2,93;0;0;0;0;0;0;201801;26/02/2018 11:03
E.X.M BRASIL SAÚDE LTDA-ME (416282);Médico Hospitalar;Pequeno;36;24;11,38;18,53;24,92;30,73;24,96;23,83;25,11;23,9;30,37;24,19;26,84;19,14;201801;26/02/2018 11:03
EXTREMAMEDIC PLANOS DE SAÚDE LTDA (411868);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
FEDERAÇÃO DAS SOCIEDADES COOPERATIVAS DE TRABALHO MÉDICO DO ACRE, AMAPÁ, AMAZONAS, PARÁ, RONDONIA E RORAIMA (313971);Médico Hospitalar;Médio;21;21;5,64;6,1;7,08;5,73;4,93;4,68;6,02;6,07;5,54;4,25;5,1;5,19;201801;26/02/2018 11:03
FEDERAÇAO REGIONAL DAS COOPERATIVAS MÉDICAS UNIMEDS DOS ESTADOS DE GOIAS E TOCANTINS E DO DISTRITO FEDERAL (386596);Médico Hospitalar;Médio;106;119;1,41;1,39;0,92;0,91;0,45;0,45;0;0,45;0,45;1,37;0,92;1,38;201801;26/02/2018 11:03
FILOSANITAS SAUDE LTDA (410888);Médico Hospitalar;Pequeno;103;113;2,05;2,04;2,04;2,04;2,04;2,12;4,36;4,47;2,21;0;0;0;201801;26/02/2018 11:03
FREE LIFE OPERADORA DE PLANOS DE SAÚDE LTDA (351091);Médico Hospitalar;Médio;23;16;5,21;6,99;6,39;6,57;5,84;5,56;2,78;2,13;3,08;2,73;3,37;2,48;201801;26/02/2018 11:03
FUNASA-SAÚDE - CAIXA DE ASSISTENCIA DOS EMPREGADOS DA SAELPA (370592);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
FUNDAÇÃO AFFEMG DE ASSISTÊNCIA E SAÚDE - FUNDAFFEMG (315567);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0,65;0,65;1,3;0,65;0,64;0;0;0;201801;26/02/2018 11:03
FUNDAÇÃO ASSISTENCIAL DOS EMPREGADOS DA CESAN (329665);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
FUNDAÇÃO ASSISTENCIAL DOS SERVIDORES DO MINISTÉRIO DA FAZENDA (346926);Médico Hospitalar;Médio;30;25;4,61;5,61;5,8;5,08;5,34;6,68;6,21;6,1;5,63;5,87;6,2;5,93;201801;26/02/2018 11:03
FUNDAÇÃO BENEFICENTE RIO DOCE (311499);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
FUNDAÇÃO CELESC DE SEGURIDADE SOCIAL - CELOS (315044);Médico Hospitalar;Médio;71;79;2,17;2,17;1,74;0,87;1,73;1,3;1,29;0,43;0,86;1,72;2,15;1,72;201801;26/02/2018 11:03
FUNDAÇÃO CESP (315478);Médico Hospitalar;Médio;54;47;2,93;3,57;2,55;2,42;2,03;2,29;2,93;2,93;2,56;1,66;1,28;1,28;201801;26/02/2018 11:03
FUNDAÇÃO CHESF DE ASSISTÊNCIA E SEGURIDADE SOCIAL (317233);Médico Hospitalar;Médio;83;90;1,81;1,8;2,4;2,1;1,79;0,9;0,89;0,89;1,48;1,48;1,18;1,18;201801;26/02/2018 11:03
FUNDAÇAO COMPESA DE PREVIDENCIA E ASSISTENCIA - COMPESAPREV (307751);Médico Hospitalar;Pequeno;151;159;1,05;1,05;0;0;0;1,05;1,05;1,05;1,05;2,11;3,17;2,11;201801;26/02/2018 11:03
FUNDAÇÃO COPEL DE PREVIDÊNCIA E ASSISTÊNCIA SOCIAL (355151);Médico Hospitalar;Médio;157;162;0,72;0,72;0,96;1,68;1,68;2,4;1,44;2,16;1,92;2,15;1,91;1,43;201801;26/02/2018 11:03
FUNDAÇÃO DE ASSISTÊNCIA À SAÚDE DA ASSOCIAÇÃO DO MINISTÉRIO PÚBLICO DO RIO GRANDE DO SUL (420701);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;;;;;;201801;26/02/2018 11:03
FUNDAÇÃO DE ASSISTÊNCIA E PREVIDÊNCIA SOCIAL DO BNDES (339636);Médico Hospitalar;Pequeno;189;165;0;0,91;0,91;0,91;0;0;0;0;0;0;0;0,9;201801;26/02/2018 11:03
FUNDAÇÃO DE PREVIDÊNCIA DOS EMPREGADOS DA CEB (309362);Médico Hospitalar;Pequeno;93;69;2,33;4,64;4,63;2,32;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
FUNDAÇÃO DE SAÚDE ITAIGUAPY (311359);Médico Hospitalar;Médio;219;218;0;0;0;0,41;0,42;0,43;0;0,43;0,44;0,44;0,44;0,44;201801;26/02/2018 11:03
FUNDAÇÃO DE SEGURIDADE SOCIAL DA ARCELORMITTAL BRASIL - FUNSSEST (330809);Médico Hospitalar;Médio;219;218;0;0;0,45;0,45;0,45;0,45;0,91;0,91;0,45;0;0;0,45;201801;26/02/2018 11:03
FUNDAÇÃO ELETROBRÁS DE SEGURIDADE SOCIAL - ELETROS (313904);Médico Hospitalar;Pequeno;63;92;4,25;2,82;4,21;7,02;7,01;6,98;4,16;2,75;1,37;1,36;1,36;2,7;201801;26/02/2018 11:03
FUNDAÇÃO FIAT SAÚDE E BEM ESTAR (418285);Médico Hospitalar;Médio;219;209;0;0,24;0,23;0,23;0;0;0,46;0,45;0,44;0;0;0;201801;26/02/2018 11:03
FUNDAÇÃO FILANTRÓPICA E BENEFICENTE DE SAÚDE ARNALDO GAVAZZA FILHO (323942);Médico Hospitalar;Pequeno;189;174;0;0,76;1,51;1,52;1,53;0,77;0,77;0;0;0;0;0;201801;26/02/2018 11:03
FUNDACAO LEONOR DE BARROS CAMARGO (410292);Médico Hospitalar;Médio;219;218;0;0;0;0;0;0;0;0;0;0;0;0,24;201801;26/02/2018 11:03
FUNDAÇÃO LIBERTAS DE SEGURIDADE SOCIAL (378216);Médico Hospitalar;Pequeno;95;103;2,29;2,28;2,27;2,26;3,37;3,35;4,46;2,22;2,21;0;1,1;1,09;201801;26/02/2018 11:03
